"ID","SCHOOL","GRADE","COURSE","AGE","GENDER","COUNTRY.BIRTH","AGE.GERMANY","EDUCATION","DEGREE.MOTHER","DEGREE.FATHER","DOM1","DOM2","DOM3","DOM4","DOM5","ACQ1","ACQ1.PLACE","ACQ2","ACQ2.PLACE","ACQ3","ACQ3.PLACE","ACQ4","ACQ4.PLACE","ACQ5","ACQ5.PLACE","EXP1","EXP2","EXP3","EXP4","EXP5","SUM.EXP","LANG.LEARN","START.ENG","FLUENT.ENG","START.READ","FLUENT.READ","START.WRITE","FLUENT.WRITE","MONTHS.COUNTRY","MONTHS.FAMILY","MONTHS.SCHOOL","PROF.SPEAK","PROF.UNDER","PROF.READ","PROF.WRITE","INFL.FRIENDS","INFL.FAMILY","INFL.READ","INFL.CLASS","INFL.SELFSTUDY","INFL.TV","INFL.SOCIALMEDIA","INFL.MUSIC","EXPO.FRIENDS","EXPO.FAMILY","EXPO.READ","EXPO.CLASS","EXPO.SELFSTUDY","EXPO.TV","EXPO.SOCIALMEDIA","EXPO.MUSIC","SUM.EXPO","ENG.COURSE","ENG.GRADE","GER.COURSE","GER.GRADE","PERS1","PERS2","PERS3","PERS4","PERS5","PERS6","PERS7","PERS8","PERS9","PERS10","PERS11","PERS12","PERS13","PERS14","PERS15","PERS16","PERS17","PERS18","READ1.BOOKS","READ1.MAGA","READ1.GAMES","READ1.SMEDIA","READ1.APPS","READ1.WEB","READ2.BOOKS","READ2.MAGA","READ2.GAMES","READ2.SMEDIA","READ2.APPS","READ2.WEB","READ.FRIENDS","LexTALE.eng.w","LexTALE.eng.nw","LexTALE.ger.w","LexTALE.ger.nw","NVLT.1000","NVLT.2000","NVLT.3000","NVLT.4000","NVLT.5000","VLT.ACAD","VLT.10000"
"a10g21","a","10","gk3",15,"Female","Germany",0,9.25,"Doctorate","(Fach-)Abitur","German","English","Latin",NA,NA,"German","Home","English","School","Latin","School",NA,NA,NA,NA,86,10,4,0,0,100,4,6,11,11,12,10,12,0,0,0,5,9,8,5,0,"0",4,5,2,6,3,4,0,0,5,10,0,65,5,5,90,NA,11,NA,8,2,3,2,2,2,2,4,3,4,3,4,2,2,4,3,3,3,3,2,1,1,3,1,1,3,1,1,4,1,1,4,20,11,32,20,29,23,12,15,14,2,0
"a10g22","a","10","gk3",15,"Male","Germany",0,10,"IDK","IDK","German","English","Latin","French",NA,"German","Home","English","School","Latin","School","French","School",NA,NA,90,5,0,5,0,100,5,7,NA,12,14,10,14,0,0,0,4,6,6,6,0,"2",5,7,5,8,0,3,0,0,25,50,0,25,0,0,100,NA,11,NA,8,1,2,3,4,3,2,2,4,4,3,1,4,1,1,2,2,3,4,2,3,1,1,1,2,1,2,1,1,1,2,4,24,13,35,17,30,28,20,22,16,22,7
"a10g23","a","10","gk3",15,"Male","Germany",0,9.5,"Master, Staatsexamen","Master, Staatsexamen","German","English","Latin",NA,NA,"German","Home","English","School","Latin","School",NA,NA,NA,NA,88,12,0,0,0,100,4,7,NA,13,NA,8,12,0.5,0,0,5,8,5,7,1,"4",3,5,8,10,6,4,0,10,0,10,30,30,10,10,100,NA,8,NA,8,4,2,2,5,4,1,2,3,4,2,4,3,2,3,3,5,3,4,1,1,4,4,NA,3,1,1,3,5,NA,3,3,23,13,32,19,25,23,15,19,13,12,6
"a10g24","a","10","gk3",15,"Female","Germany",0,9.5,"Bachelor, Diplom","Bachelor, Diplom","German","English","Latin","Other",NA,"German","Home","English","School","Latin","School","Other","Other",NA,NA,50,25,10,15,0,100,5,7,13,11,14,12,14,0.5,0,0,8,7,9,8,3,"1",4,8,6,9,10,4,8,0,8,15,14,22.5,22.5,10,100,NA,8,NA,11,3,3,2,3,3,2,3,3,4,3,2,4,3,4,3.5,4,3,3,2,1,1,4,2,1,2,1,1,4,1,1,1,28,10,35,14,30,28,15,19,11,16,4
"a10g25","a","10","gk3",16,"Female","Germany",0,10,"Master, Staatsexamen","Vocational education","German","English","French",NA,NA,"German","Home","English","School","French","School",NA,NA,NA,NA,70,30,0,0,0,100,5,6,11,11,13,9,13,6,6,6,7,9,8,8,3,"3",7,6,7,7,7,5,5,0,20,10,20,20,20,5,100,NA,NA,NA,NA,3,2,3,3,2,4,2,4,3,3,4,4,3,3,3,2,3,4,2,3,2,4,NA,3,1,3,2,4,NA,3,3,23,14,31,17,25,18,10,14,11,3,0
"a10g26","a","10","gk3",15,"Male","Germany",0,9.5,"IDK","IDK","German","English","Latin",NA,NA,"German","Home","English","School","Latin","School",NA,NA,NA,NA,75,24,1,0,0,100,4,7,NA,8,13,8,13,0,0,0,4,5,6,4,1,"1",2,10,6,7,7,3,0,0,0,50,30,5,10,5,100,NA,11,NA,11,2,2,2,5,2,2,2,4,4,4,2,2,2,2,2,4,2,4,1,1,2,3,2,3,1,1,2,3,2,3,3,24,14,36,15,30,28,23,23,21,26,14
"a10g27","a","10","gk3",15,"Female","Other",7,9,"Bachelor, Diplom","Bachelor, Diplom","Other","German","English","Ancient Greek","Latin","Other","Home","English","Kindergarden","German","School","Latin","School","Ancient Greek","School",35,15,40,0,10,100,5,4,NA,8,NA,6,NA,0,0,0,3,5,4,5,0,"0",2,10,0,0,0,0,0,0,0,85,5,0,0,10,100,NA,14,NA,14,3,4,1,2,1,4,3,4,5,4,2,4,3,1,2,2,3,2,1,1,1,2,1,2,1,1,1,1,1,3,1,24,13,29,15,28,22,22,21,14,23,7
"a10g28","a","10","gk4",15,"Male","Germany",0,9.25,"Bachelor, Diplom","Bachelor, Diplom","German","English","Latin",NA,NA,"German","Home","English","School","Latin","School",NA,NA,NA,NA,95,5,0,0,0,100,4,5,14,8,12,9,14,0,0,0,5,7,8,6,1,"1",6,10,3,8,8,3,0,0,10,40,5,10,20,5,90,NA,11,NA,8,3,2,3,4,1,1,3,2,5,3,3,3,2,3,2,2,2,2,2,1,2,3,2,2,1,1,1,3,2,2,3,24,12,32,15,29,3,6,20,18,23,17
"a10g29","a","10","gk4",15,"Female","Germany",0,10,"Bachelor, Diplom","Vocational education","German","English","Latin",NA,NA,"German","Home","English","School","Latin","School",NA,NA,NA,NA,70,20,10,0,0,100,6,6,14,6,15,10,14,0,0,0,7,8,9,7,6,"4",6,6,8,10,10,10,5,5,10,20,10,15,20,15,100,NA,14,NA,8,3,4,2,4,1,1,3,3,5,4,3,3,1,1,2,5,4,4,1,1,1,4,3,2,1,1,1,4,2,1,1,17,13,35,12,23,20,11,16,12,12,1
"a10g30","a","10","gk4",15,"Female","Germany",0,9.3,"IDK","IDK","German","Other","English","Other","Latin","German","Home","Greek","Home","English","School","Other","Home","Latin","School",40,30,20,10,0,100,6,4,13,7,10,7,12,0,0,0,8,10,10,9,3,"1",6,7,8,9,10,10,2.5,2.5,10,10,5,20,30,20,100,NA,14,NA,14,2,1,3,2,5,2,4,2,4,1,2,2,2,4,4,2,5,4,3,1,4,5,4,3,2,1,3,5,4,2,3,23,17,30,18,30,26,25,27,20,24,6
